month	cases	country	type
3/31/2020	5715	Brazil	train
4/30/2020	81470	Brazil	train
5/31/2020	427662	Brazil	train
6/30/2020	887192	Brazil	train
7/31/2020	1260444	Brazil	train
8/31/2020	1245787	Brazil	train
9/30/2020	902663	Brazil	train
10/31/2020	724670	Brazil	train
11/30/2020	800273	Brazil	train
12/31/2020	1340095	Brazil	train
1/31/2021	1528758	Brazil	train
2/28/2021	1346528	Brazil	train
3/31/2021	2197488	Brazil	train
4/30/2021	1910264	Brazil	train
5/31/2021	1886543	Brazil	train
6/30/2021	2011587	Brazil	train
3/31/2020	8507	Canada	train
4/30/2020	45930	Canada	train
5/31/2020	38022	Canada	train
6/30/2020	13618	Canada	train
7/31/2020	12184	Canada	train
8/31/2020	12637	Canada	train
9/30/2020	30189	Canada	train
10/31/2020	76206	Canada	train
11/30/2020	144244	Canada	train
12/31/2020	202852	Canada	train
1/31/2021	199286	Canada	train
2/28/2021	87999	Canada	train
3/31/2021	117114	Canada	train
4/30/2021	239559	Canada	train
5/31/2021	160961	Canada	train
6/30/2021	33502	Canada	train
3/31/2020	52178	France	train
4/30/2020	116583	France	train
5/31/2020	22114	France	train
6/30/2020	13269	France	train
7/31/2020	22995	France	train
8/31/2020	93921	France	train
9/30/2020	284733	France	train
10/31/2020	808471	France	train
11/30/2020	862510	France	train
12/31/2020	400792	France	train
1/31/2021	578254	France	train
2/28/2021	559719	France	train
3/31/2021	889429	France	train
4/30/2021	972767	France	train
5/31/2021	50953	France	train
6/30/2021	108477	France	train
3/31/2020	71729	Germany	train
4/30/2020	91201	Germany	train
5/31/2020	20401	Germany	train
6/30/2020	12008	Germany	train
7/31/2020	14981	Germany	train
8/31/2020	34403	Germany	train
9/30/2020	48111	Germany	train
10/31/2020	238877	Germany	train
11/30/2020	538122	Germany	train
12/31/2020	690608	Germany	train
1/31/2021	465139	Germany	train
2/28/2021	224636	Germany	train
3/31/2021	393349	Germany	train
4/30/2021	561721	Germany	train
5/31/2021	284556	Germany	train
6/30/2021	46284	Germany	train
3/31/2020	1394	India	train
4/30/2020	33466	India	train
5/31/2020	155746	India	train
6/30/2020	394872	India	train
7/31/2020	1110507	India	train
8/31/2020	1995178	India	train
9/30/2020	2621418	India	train
10/31/2020	1871498	India	train
11/30/2020	1278727	India	train
12/31/2020	803865	India	train
1/31/2021	490936	India	train
2/28/2021	354631	India	train
3/31/2021	1109424	India	train
4/30/2021	6943304	India	train
5/31/2021	9010075	India	train
6/30/2021	2236590	India	train
3/31/2020	2010	Japan	train
4/30/2020	12029	Japan	train
5/31/2020	2467	Japan	train
6/30/2020	1864	Japan	train
7/31/2020	17619	Japan	train
8/31/2020	32162	Japan	train
9/30/2020	15195	Japan	train
10/31/2020	17736	Japan	train
11/30/2020	47635	Japan	train
12/31/2020	86849	Japan	train
1/31/2021	154355	Japan	train
2/28/2021	41924	Japan	train
3/31/2021	42551	Japan	train
4/30/2021	118623	Japan	train
5/31/2021	153924	Japan	train
6/30/2021	53117	Japan	train
3/31/2020	38754	England	train
4/30/2020	139956	England	train
5/31/2020	78768	England	train
6/30/2020	27677	England	train
7/31/2020	19577	England	train
8/31/2020	33290	England	train
9/30/2020	117765	England	train
10/31/2020	558947	England	train
11/30/2020	618941	England	train
12/31/2020	862499	England	train
1/31/2021	1331952	England	train
2/28/2021	360640	England	train
3/31/2021	171155	England	train
4/30/2021	72264	England	train
5/31/2021	70985	England	train
6/30/2021	314067	England	train
3/31/2020	192276	USA	train
4/30/2020	888804	USA	train
5/31/2020	717688	USA	train
6/30/2020	843440	USA	train
7/31/2020	1925231	USA	train
8/31/2020	1459482	USA	train
9/30/2020	1208552	USA	train
10/31/2020	1930288	USA	train
11/30/2020	4504912	USA	train
12/31/2020	6429546	USA	train
1/31/2021	6149098	USA	train
2/28/2021	2402096	USA	train
3/31/2021	1813678	USA	train
4/30/2021	1885745	USA	train
5/31/2021	916731	USA	train
6/30/2021	397378	USA	train
5/01/2021	903531.4877	Brazil	prediction
6/01/2021	1167144.828	Brazil	prediction
5/01/2021	134015.2112	England	prediction
6/01/2021	149275.828	England	prediction
5/01/2021	452719.5488	France	prediction
6/01/2021	1352097.351	France	prediction
5/01/2021	215201.2118	Germany	prediction
6/01/2021	679234.3069	Germany	prediction
5/01/2021	1166117.95	India	prediction
6/01/2021	1017361.829	India	prediction
5/01/2021	418646.7475	Japan	prediction
6/01/2021	1402036.134	Japan	prediction
5/01/2021	800533.7701	USA	prediction
6/01/2021	2076039.564	USA	prediction
